GOID,Freq
GO:0000038,1
GO:0000045,3
GO:0000050,2
GO:0000052,2
GO:0000060,4
GO:0000070,4
GO:0000076,2
GO:0000077,18
GO:0000079,4
GO:0000082,1
GO:0000083,2
GO:0000086,18
GO:0000122,22
GO:0000132,4
GO:0000165,14
GO:0000183,6
GO:0000184,2
GO:0000186,4
GO:0000187,12
GO:0000209,4
GO:0000226,6
GO:0000255,1
GO:0000266,2
GO:0000278,18
GO:0000281,16
GO:0000289,6
GO:0000301,2
GO:0000375,1
GO:0000381,52
GO:0000398,2
GO:0000462,1
GO:0000722,4
GO:0000723,4
GO:0000724,16
GO:0000727,2
GO:0000729,6
GO:0000731,6
GO:0000732,3
GO:0000902,6
GO:0000910,6
GO:0000915,26
GO:0001514,3
GO:0001516,1
GO:0001523,6
GO:0001525,8
GO:0001541,3
GO:0001553,1
GO:0001556,2
GO:0001649,1
GO:0001666,8
GO:0001672,1
GO:0001676,4
GO:0001701,22
GO:0001745,3
GO:0001754,3
GO:0001756,3
GO:0001779,1
GO:0001822,4
GO:0001841,2
GO:0001843,4
GO:0001886,16
GO:0001889,4
GO:0001892,1
GO:0001932,5
GO:0001933,3
GO:0001934,1
GO:0001942,4
GO:0001953,12
GO:0001958,1
GO:0001964,2
GO:0001974,1
GO:0002009,1
GO:0002027,1
GO:0002028,1
GO:0002040,1
GO:0002121,2
GO:0002165,50
GO:0002218,6
GO:0002223,18
GO:0002230,8
GO:0002244,6
GO:0002250,5
GO:0002286,2
GO:0002317,2
GO:0002331,3
GO:0002376,1
GO:0002377,5
GO:0002385,5
GO:0002479,1
GO:0002551,1
GO:0002821,2
GO:0003007,4
GO:0003016,4
GO:0003032,4
GO:0003091,2
GO:0003097,2
GO:0006006,4
GO:0006012,1
GO:0006013,1
GO:0006024,6
GO:0006027,6
GO:0006049,4
GO:0006084,1
GO:0006090,6
GO:0006091,4
GO:0006094,6
GO:0006099,11
GO:0006101,11
GO:0006103,2
GO:0006105,1
GO:0006106,1
GO:0006107,1
GO:0006108,1
GO:0006189,1
GO:0006198,1
GO:0006258,1
GO:0006259,2
GO:0006260,20
GO:0006261,2
GO:0006267,2
GO:0006270,2
GO:0006273,4
GO:0006275,5
GO:0006281,26
GO:0006283,4
GO:0006289,6
GO:0006296,4
GO:0006297,4
GO:0006302,18
GO:0006303,12
GO:0006310,2
GO:0006311,8
GO:0006325,50
GO:0006334,4
GO:0006338,4
GO:0006342,2
GO:0006346,16
GO:0006351,141
GO:0006352,4
GO:0006355,97
GO:0006357,13
GO:0006364,1
GO:0006366,11
GO:0006367,2
GO:0006369,2
GO:0006376,2
GO:0006378,3
GO:0006379,1
GO:0006383,7
GO:0006388,1
