Sample,UniqueReads,DuplicateReads,TotalReads,percUnique,percDuplicate
zr3616_1_R1_val_1_val_1_val_1,110124943,48331687,158456630,0.69498476,0.30501524
zr3616_1_R2_val_2_val_2_val_2,110200400,48256230,158456630,0.69546096,0.30453904
zr3616_2_R1_val_1_val_1_val_1,113905719,50831447,164737166,0.691439107,0.308560893
zr3616_2_R2_val_2_val_2_val_2,114206653,50530513,164737166,0.69326586,0.30673414
zr3616_3_R1_val_1_val_1_val_1,127399804,57226069,184625873,0.690043069,0.309956931
zr3616_3_R2_val_2_val_2_val_2,127666785,56959088,184625873,0.691489134,0.308510866
zr3616_4_R1_val_1_val_1_val_1,133388617,62015907,195404524,0.68262809,0.31737191
zr3616_4_R2_val_2_val_2_val_2,134003460,61401064,195404524,0.685774604,0.314225396
zr3616_5_R1_val_1_val_1_val_1,105611484,40781577,146393061,0.721424112,0.278575888
zr3616_5_R2_val_2_val_2_val_2,105295191,41097870,146393061,0.719263538,0.280736462
zr3616_6_R1_val_1_val_1_val_1,131929734,59630305,191560039,0.68871219,0.31128781
zr3616_6_R2_val_2_val_2_val_2,132099112,59460927,191560039,0.689596393,0.310403607
zr3616_7_R1_val_1_val_1_val_1,106941708,40576707,147518415,0.724938022,0.275061978
zr3616_7_R2_val_2_val_2_val_2,107098485,40419930,147518415,0.726000784,0.273999216
zr3616_8_R1_val_1_val_1_val_1,113139903,46242833,159382736,0.709862974,0.290137026
zr3616_8_R2_val_2_val_2_val_2,113539237,45843499,159382736,0.712368478,0.287631522
