Sample,UniqueReads,DuplicateReads,TotalReads,percUnique,percDuplicate
zr3616_1_R1_val_1_val_1,109992707,51112001,161104708,0.682740488,0.317259512
zr3616_1_R2_val_2_val_2,110010991,51093717,161104708,0.68285398,0.31714602
zr3616_2_R1_val_1_val_1,113969860,52862159,166832019,0.683141406,0.316858594
zr3616_2_R2_val_2_val_2,114063383,52768636,166832019,0.683701988,0.316298012
zr3616_3_R1_val_1_val_1,127144888,61230778,188375666,0.674953887,0.325046113
zr3616_3_R2_val_2_val_2,127369014,61006652,188375666,0.676143669,0.323856331
zr3616_4_R1_val_1_val_1,133249380,64572762,197822142,0.673581727,0.326418273
zr3616_4_R2_val_2_val_2,133844397,63977745,197822142,0.676589565,0.323410435
zr3616_5_R1_val_1_val_1,105553061,43003491,148556552,0.710524441,0.289475559
zr3616_5_R2_val_2_val_2,105134498,43422054,148556552,0.707706907,0.292293093
zr3616_6_R1_val_1_val_1,131701793,63119870,194821663,0.676012056,0.323987944
zr3616_6_R2_val_2_val_2,131837026,62984637,194821663,0.676706194,0.323293806
zr3616_7_R1_val_1_val_1,106906975,42173089,149080064,0.717111142,0.282888858
zr3616_7_R2_val_2_val_2,106978268,42101796,149080064,0.717589362,0.282410638
zr3616_8_R1_val_1_val_1,113023355,48286429,161309784,0.700660259,0.299339741
zr3616_8_R2_val_2_val_2,113415454,47894330,161309784,0.703090979,0.296909021
