"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"78","C13500",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"79","C13512",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"80","C13516",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"81","C13526",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"82","C13528",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"83","C13532",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"84","C13546",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"85","C13552",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"86","C13576",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"87","C13578",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"88","C13590",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"89","C13598",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"90","C13600",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"91","C13606",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"92","C13612",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"93","C13614",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"94","C13624",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"95","C13632",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"96","C13642",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"97","C13654",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"98","C13666",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"99","C13676",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"100","C13712",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"101","C13716",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"102","C13766",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"103","C13780",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"104","C13786",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"105","C13788",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"106","C13800",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"107","C13802",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"108","C13814",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"109","C13834",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"110","C13844",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"111","C13854",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"112","C13860",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"113","C13868",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"114","C13872",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"115","C13874",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"116","C13878",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"117","C13880",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"118","C13892",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"119","C13898",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"120","C13904",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"121","C13930",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"122","C13946",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"123","C13950",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"124","C13954",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"125","C13972",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"126","C13976",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"127","C13992",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"128","C14004",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"129","C14008",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"130","C14010",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"131","C14032",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"132","C14036",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"133","C14046",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"134","C14050",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
