Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
zr3616_1_R1_val_1_val_1_val_1	1425230.0	6104487.0	22178795.0	0.5	0.6	10.8	1528910858.0	272920546.0	1042676097.0	183605703.0
zr3616_2_R1_val_1_val_1_val_1	1458775.0	6198029.0	22304950.0	0.5	0.6	10.7	1552669056.0	276338681.0	1060713632.0	185654989.0
zr3616_3_R1_val_1_val_1_val_1	1430950.0	6185606.0	23032054.0	0.5	0.6	11.1	1575986604.0	279856496.0	1080128932.0	185352566.0
zr3616_4_R1_val_1_val_1_val_1	1627724.0	6917739.0	26332786.0	0.5	0.6	11.1	1774937848.0	316973218.0	1212684652.0	210401729.0
zr3616_5_R1_val_1_val_1_val_1	1235977.0	5346971.0	18817368.0	0.5	0.6	10.6	1340317579.0	238482390.0	917035379.0	159399494.0
zr3616_6_R1_val_1_val_1_val_1	1487557.0	6426616.0	23293580.0	0.5	0.6	10.9	1606395418.0	286752999.0	1097163447.0	191271219.0
zr3616_7_R1_val_1_val_1_val_1	1281705.0	5585942.0	20679742.0	0.5	0.6	11.5	1365975623.0	241903748.0	936802775.0	159721711.0
zr3616_8_R1_val_1_val_1_val_1	1412896.0	6060604.0	21640032.0	0.5	0.6	11.0	1476972567.0	262956537.0	1009361126.0	175541372.0
